Region	Places_reporting_cases	Confirmed_cases	Deaths	Confirmed_cases_in_the_last_15_days
Asia 	China 	80973 	3194 	2046
Asia 	Iran 	11364 	514 	11119
Asia 	South Korea 	8086 	72 	6064
Asia 	Japan 	737 	21 	527
Asia 	Qatar 	320 	0 	320
Asia 	Bahrain 	210 	0 	177
Asia 	Singapore 	200 	0 	104
Asia 	Malaysia 	197 	0 	174
Asia 	Israel 	116 	0 	113
Asia 	Kuwait 	100 	0 	57
Asia 	Iraq 	93 	9 	87
Asia 	Saudi Arabia 	86 	0 	86
Asia 	United Arab Emirates 	85 	0 	66
Asia 	India 	83 	2 	80
Asia 	Thailand 	82 	1 	42
Asia 	Indonesia 	69 	4 	69
Asia 	Lebanon 	66 	2 	63
Asia 	Philippines 	64 	6 	61
Asia 	Taiwan 	53 	1 	19
Asia 	Vietnam 	49 	0 	33
Asia 	Brunei Darussalam 	37 	0 	37
Asia 	Palestine 	35 	0 	35
Asia 	Pakistan 	21 	0 	19
Asia 	Oman 	20 	0 	14
Asia 	Maldives 	9 	0 	9
Asia 	Afghanistan 	7 	0 	6
Asia 	Sri Lanka 	6 	0 	5
Asia 	Cambodia 	5 	0 	4
Asia 	Bangladesh 	3 	0 	3
Asia 	Bhutan 	1 	0 	1
Asia 	Mongolia 	1 	0 	1
Asia 	Nepal 	1 	0 	0
Asia 	Jordan 	1 	0 	1
Europe 	Italy 	17660 	1268 	17010
Europe 	Spain 	4231 	121 	4206
Europe 	France 	3661 	79 	3623
Europe 	Germany 	3062 	5 	3015
Europe 	switzerland 	1121 	7 	1113
Europe 	Netherlands 	804 	5 	803
Europe 	Denmark 	804 	0 	803
Europe 	Sweden 	775 	1 	768
Europe 	United Kingdom 	707 	10 	691
Europe 	Norway 	621 	1 	617
Europe 	Belgium 	559 	3 	558
Europe 	Austria 	504 	1 	499
Europe 	Greece 	190 	1 	187
Europe 	Finland 	155 	0 	153
Europe 	Czech Republic 	150 	0 	150
Europe 	Slovenia 	141 	0 	141
Europe 	Iceland 	117 	0 	117
Europe 	Portugal 	112 	0 	112
Europe 	Ireland 	91 	1 	91
Europe 	Romania 	89 	0 	88
Europe 	Estonia 	79 	0 	78
Europe 	San Marino 	73 	5 	72
Europe 	Poland 	68 	2 	68
Europe 	Georgia 	46 	0 	45
Europe 	Russia 	45 	0 	43
Europe 	Serbia 	41 	0 	41
Europe 	Luxembourg 	38 	1 	38
Europe 	Albania 	33 	1 	33
Europe 	Croatia 	31 	0 	28
Europe 	Bulgaria 	31 	1 	31
Europe 	Slovakia 	30 	0 	30
Europe 	Hungary 	25 	0 	25
Europe 	Belarus 	21 	0 	20
Europe 	Latvia 	19 	0 	19
Europe 	Cyprus 	14 	0 	14
Europe 	North Macedonia 	13 	0 	12
Europe 	Armenia 	13 	0 	13
Europe 	Azerbaijan 	13 	0 	13
Europe 	Malta 	12 	0 	12
Europe 	Moldova 	8 	0 	8
Europe 	Lithuania 	6 	0 	5
Europe 	Liechtenstein 	4 	0 	4
Europe 	Ukraine 	3 	0 	3
Europe 	Bosnia and Herzegovina 	3 	0 	3
Europe 	Turkey 	2 	0 	2
Europe 	Andorra 	2 	0 	2
Europe 	Monaco 	1 	0 	1
Europe 	Holy See 	1 	0 	1
America 	United States of America 	2174 	47 	2114
America 	Canada 	176 	1 	162
America 	Brazil 	98 	0 	97
America 	Chile 	43 	0 	43
America 	Peru 	38 	0 	38
America 	Panama 	36 	1 	36
America 	Argentina 	34 	2 	34
America 	Mexico 	26 	0 	26
America 	Costa Rica 	26 	0 	26
America 	Ecuador 	23 	1 	23
America 	Colombia 	16 	0 	16
America 	Dominican Republic 	11 	0 	11
America 	Bolivia 	10 	0 	10
America 	Jamaica 	8 	0 	8
America 	Paraguay 	7 	0 	7
America 	Cuba 	4 	0 	4
America 	Honduras 	3 	0 	3
America 	Trinidad and Tobago 	2 	0 	2
America 	Guyana 	1 	1 	1
America 	Saint Vincent and the Grenadines 	1 	0 	1
Other 	Cases on an international conveyance Japan 	696 	7 	0
Oceania 	Australia 	197 	3 	174
Oceania 	New Zealand 	6 	0 	5
Africa 	Egypt 	93 	2 	92
Africa 	Algeria 	26 	2 	25
Africa 	South Africa 	24 	0 	24
Africa 	Senegal 	19 	0 	19
Africa 	Tunisia 	16 	0 	16
Africa 	Morocco 	7 	1 	7
Africa 	Democratic Republic of the Congo 	2 	0 	2
Africa 	Burkina Faso 	2 	0 	2
Africa 	Ghana 	2 	0 	2
Africa 	Cameroon 	2 	0 	2
Africa 	Nigeria 	2 	0 	1
Africa 	Ethiopia 	1 	0 	1
Africa 	Guinea 	1 	0 	1
Africa 	Cote dIvoire 	1 	0 	1
Africa 	Gabon 	1 	0 	1
Africa 	Kenya 	1 	0 	1
Africa 	Sudan 	1 	0 	1
Africa 	Togo 	1 	0 	1
